Year,Month,Day,sBD1_005,sBD1_007,sBD1_009,sBD1_014,sBD1_021,sBD1_024,sBD1_037,sBD1_042,sBD1_043,sBD1_044,sBD1_055,sBD1_061,sBD1_062,sBD1_065,sBD1_071,sBD1_078,sBD1_082,sBD1_094,BD2_002,BD2_007,BD2_009,BD2_012,BD2_024,BD2_026,BD2_027,BD2_028,BD2_031,BD2_032,BD2_033,BD2_037,BD2_042,BD2_043,BD2_045,BD2_046,BD2_048,BD2_050
2020,1,1,5.17274754069122e-05,0.000158114739203921,2.29134329925139e-05,6.31794553282622e-06,1.7229478655958e-05,0,0,7.65095306635665e-05,0,0.00235204044739645,0.0020043868074284,0.002886459886828,0.00425868696605708,0.00545217526016888,0.00302165721435732,0.00152984326556759,0,0.00133170332426377,0.00244807109694699,0,0,0,0,0,0.00353472698861921,3.37279920523172e-06,0.000261996233981035,0.00858981125171158,0.00577508195358935,0,0.0018310328073923,0.00118990479344642,2.30891817934008e-05,0.00594805563176888,0,0
2020,1,6,6.29307323563962e-05,0.000180898972922573,2.63536670504976e-05,7.75330421985984e-06,2.28180034831402e-05,0,0,9.40552188447265e-05,0,0.00239336830199647,0.00210408769036503,0.00317222980988874,0.00443485461797788,0.00556651480497551,0.00319646136512809,0.00155501435524614,0,0.00139348330016148,0.00260080794501299,0,0,0,0,0,0.003662968056196,4.06405904635856e-06,0.00030055921790033,0.0089074119201991,0.00614214933376279,0,0.00191584991878966,0.00127805115987715,2.50175346889066e-05,0.00616082509446489,0,0
2020,1,11,7.55134057822819e-05,0.000204699980660419,2.99887963791743e-05,9.39847635959182e-06,2.96432422493316e-05,0,0,0.000114243671354882,0,0.00242760306836425,0.00220722133845851,0.00348583281988155,0.00461307196543257,0.00567914770125553,0.00337095848097596,0.00157975263530985,0,0.00145754593962408,0.00275748155952336,0,0,0,0,0,0.00379275602707288,4.90397901262448e-06,0.000344126081357274,0.00922051798357621,0.00651649263433227,0,0.00200292992737453,0.00136766038162069,2.7079793782419e-05,0.00637810948968298,0,0
2020,1,16,8.95512758595279e-05,0.000229512366934577,3.3823005508259e-05,1.12788179519832e-05,3.78718455543912e-05,0,0,0.000137359143512615,0,0.00245445465324374,0.00231372502150421,0.00382927892051639,0.00479314522590003,0.00578995687677683,0.00354411107628625,0.00160400567382242,0,0.00152403348380942,0.00291756038030374,0,0,0,0,0,0.00392392940210445,5.86436695459771e-06,0.000392749042392464,0.00952804196893251,0.00689663682581893,0,0.00209225400833264,0.00145840566606696,2.92788672833906e-05,0.00659982423744604,0,0
2020,1,21,0.000105134216468097,0.000255325498744238,3.78622429517611e-05,1.34117387424734e-05,4.76705232236078e-05,0,0,0.000163684599243747,0,0.0024737149180211,0.00242356999586288,0.00420458769801952,0.00497473397593634,0.00589873458986407,0.0037150850727135,0.00162777337882994,0,0.0015928482904354,0.00308047334639647,0,0,0,0,0,0.00405635522877676,7.02567458128405e-06,0.000447044169313023,0.0098286311767676,0.00728100744801475,0,0.00218372639131639,0.00154988096337888,3.16309237477713e-05,0.0068258654548306,0,0
2020,1,26,0.00012233073358746,0.000282128742674617,4.21115968441694e-05,1.58247205204004e-05,5.91973055505083e-05,0,0,0.000193533777631643,0,0.00248523325874104,0.00253688393855104,0.00461353459251202,0.00515759411897817,0.00600537156435431,0.00388254373401752,0.00165099732582121,0,0.00166412674982024,0.00324562560436119,0,0,0,0,0,0.0041897981588003,8.3774293595078e-06,0.000507610986946475,0.0101210575408049,0.00766790099465615,0,0.00227728089746398,0.00164163790690367,3.4131375116855e-05,0.00705610857291894,0,0
2020,1,31,0.000141246803276861,0.00030990991932064,4.65790008534961e-05,1.85495055213375e-05,7.26475262563534e-05,0,0,0.000227212045015879,0,0.00248897416629617,0.00265352081574331,0.00505787465228793,0.00534137094271498,0.00610974825804772,0.00404585051234227,0.00167367486675541,0,0.00173824124887303,0.00341234119574135,0,0,0,0,0,0.00432408971512741,9.93044727578222e-06,0.000574923684820965,0.0104041733850137,0.00805554991315332,0,0.00237284235088399,0.00173342515103023,3.67924509941024e-05,0.00729040698070378,0,0
2020,2,5,0.00016199091814532,0.000338652730784699,5.12650619707766e-05,2.16131494773431e-05,8.81623642543623e-05,0,0,0.00026509604908087,0,0.00248489839379284,0.00277355049913635,0.00553917508727404,0.00552574884662843,0.0062116824215965,0.00420402324610477,0.00169576064843003,0,0.00181498966956942,0.00357998230998154,0,0,0,0,0,0.00445901062669873,1.17767296921044e-05,0.000649310075722444,0.0106767041605812,0.00844196832381831,0,0.00247031851735352,0.00182469116951876,3.96243364113689e-05,0.00752859071236605,0,0
2020,2,10,0.000184715305758668,0.000368343471824019,5.61787739058532e-05,2.50515565024154e-05,0.000105933340608457,0,0,0.000307517749717366,0,0.00247299682935942,0.00289684509836964,0.00605850196075011,0.00571042115686241,0.00631099106836666,0.00435628940783393,0.00171723309539211,0,0.00189458281293133,0.0037477937713204,0,0,0,0,0,0.00459440537456256,1.39323347007311e-05,0.00073163308563003,0.01093743409793,0.00882532315019651,0,0.00256964961461461,0.0019152170807856,4.26293998602978e-05,0.00777046519514648,0,0
2020,2,15,0.000209522360598465,0.000398965946740728,6.13231974742596e-05,2.88992640772341e-05,0.000126163195706786,0,0,0.000354839791603778,0,0.00245340745852067,0.00302345888703209,0.00661671927400462,0.0058950309554388,0.00640762274500478,0.00450182285410992,0.00173807902402271,0,0.00197703002233026,0.00391502860752275,0,0,0,0,0,0.0047299899565787,1.63957036148491e-05,0.000822296893040482,0.0111851685357443,0.00920335515245128,0,0.00267068572361245,0.00200479179891263,4.5820763564514e-05,0.00801581007567177,0,0
