Year,Month,Day,sBD1_005,sBD1_007,sBD1_009,sBD1_014,sBD1_021,sBD1_024,sBD1_037,sBD1_042,sBD1_043,sBD1_044,sBD1_055,sBD1_061,sBD1_062,sBD1_065,sBD1_071,sBD1_078,sBD1_082,sBD1_094,BD2_002,BD2_007,BD2_009,BD2_012,BD2_024,BD2_026,BD2_027,BD2_028,BD2_031,BD2_032,BD2_033,BD2_037,BD2_042,BD2_043,BD2_045,BD2_046,BD2_048,BD2_050
2020,1,1,0.000345339492317431,0.000223364363095443,0.000121848504532585,4.87540834504423e-05,0,0,5.54557482425035e-05,1.76796097004585e-05,0.000226268082323148,0.00035384553488002,0,0.000780986025943763,0.001885094318281,0.00335566357548935,0.00207258192160903,0.000214251144013694,0,0,0.000462582737197159,0,0,0,0.00083203442159105,0,0.00485254604833497,0.00366246866324529,0.00402278345206619,0,0.00204017303351519,0.000387723855758091,0.00024757517102744,0.00128105266780523,0.00751126944052227,0.00150481006999118,2.8917772861884e-06,0
2020,1,6,0.000390879201805761,0.000264658725994133,0.000137238885860217,5.78540725020023e-05,0,0,6.26248317029506e-05,2.00044586098635e-05,0.000254005798108663,0.000389421719060403,0,0.000866502037758736,0.00193916382188607,0.00344709363922987,0.00218094949559054,0.000226763099429073,0,0,0.000482774703661465,0,0,0,0.000888156144177893,0,0.00495297651594645,0.0038623521187778,0.0041110944947512,0,0.00223013946411815,0.00041583559377833,0.000250811730339323,0.0013150852490832,0.00799831979447688,0.00170953603524863,3.72685957090152e-06,0
2020,1,11,0.000437814495189895,0.000310012252744212,0.000152795346294011,6.79685484338045e-05,0,0,6.98863596342427e-05,2.2395206039934e-05,0.000281928255699067,0.000428408069377288,0,0.000959122083688963,0.00199455278923625,0.00353891341089937,0.0022932310319011,0.000239223254375836,0,0,0.000503472083447936,0,0,0,0.00094792550393631,0,0.0050542728078643,0.00406851504598351,0.00419855530803087,0,0.00243485920310792,0.000445388097980137,0.000253987625333367,0.00134868534330595,0.00849909384080499,0.00193482557081682,4.705899570628e-06,0
2020,1,16,0.000486142995845813,0.000359641521670202,0.000168494349582484,7.92349423526379e-05,0,0,7.72166645560657e-05,2.48522403041791e-05,0.000309940729039593,0.000470826039589118,0,0.00105921782300922,0.00205135398079764,0.00363102326379879,0.00240938417705849,0.000251579470505756,0,0,0.000524629667741458,0,0,0,0.00101133547581023,0,0.00515643230740514,0.00428071595663699,0.00428506700480266,0,0.00265534554507833,0.0004763176443648,0.00025710115119985,0.00138178461566009,0.00901205488697283,0.00218044424425451,5.91458523492601e-06,0
2020,1,21,0.000535860975645775,0.000413754804538246,0.000184338782963625,9.17993195033066e-05,0,0,8.4579152066458e-05,2.7374141389533e-05,0.000337978652661553,0.000517402090311087,0,0.00116702517428218,0.00210955860729439,0.00372339404075531,0.00252953618804649,0.000263796857686275,0,0,0.000546347278850828,0,0,0,0.00107863631226484,0,0.00525945241430634,0.00449881095287095,0.00437051684362697,0,0.00289243586131606,0.000508725699466256,0.000260151448221599,0.00141431494995439,0.00953560724393378,0.0024449723824848,7.4220660540533e-06,0
2020,1,26,0.000586963356782274,0.000472546168323815,0.000200315340787468,0.000105850954345088,0,0,9.19489117762674e-05,2.99613853750387e-05,0.000365977119516597,0.000568143013251159,0,0.00128278723301152,0.00216920560523871,0.00381594919400985,0.00265355651181584,0.000275892304812504,0,0,0.000568470119019097,0,0,0,0.00114998224712517,0,0.00536333039856844,0.00472260903301517,0.00445479981594532,0,0.00314702611301866,0.000542601228895723,0.000263131008776381,0.00144620865423395,0.0100681299022689,0.00272673814888182,9.24442523207212e-06,0
2020,1,31,0.000639443716452829,0.000536235419436403,0.000216436967163251,0.000121618722072231,0,0,9.92948610921832e-05,3.26146056952124e-05,0.000393862394188963,0.000623744084923218,0,0.00140680303879384,0.00223032570155312,0.00390858731831129,0.00278145183540095,0.000287886935120595,0,0,0.000590954876971057,0,0,0,0.00122547501230101,0,0.00546806323983837,0.00495190720760613,0.00453778871122036,0,0.00342008891146919,0.000578147090140903,0.000266040015309965,0.00147739867635923,0.0106074898315243,0.00302349243955321,1.15366120415421e-05,0
2020,2,5,0.000693294294391172,0.000605012710504873,0.000232710640249291,0.000139393192503628,0,0,0.000106592685732339,3.53346599045725e-05,0.000421580587383472,0.000684231063928932,0,0.00153925170749849,0.00229298718553486,0.00400124542088471,0.00291315694719371,0.000299795849920353,0,0,0.000613890090333302,0,0,0,0.00130525462469344,0,0.00557364745250873,0.00518631803493189,0.00461943136774942,0,0.00371240458454666,0.000615351153718061,0.000268876365054653,0.00150781875821805,0.0111516847957297,0.00333288300195601,1.44160745469966e-05,0
2020,2,10,0.000748506003219201,0.000679067477584285,0.000249161852873108,0.000159532129219325,0,0,0.000113818073533605,3.81233382314032e-05,0.00044911120242745,0.000750118141190059,0,0.00168027388699658,0.00235717090316501,0.00409383786301271,0.00304875728771004,0.000311614519905744,0,0,0.000637285809383067,0,0,0,0.00138957220140591,0,0.00568007889681864,0.00542568492197836,0.00469965011762923,0,0.00402484764509098,0.000654348627394569,0.000271637203081268,0.00153740369782004,0.0116984990422136,0.0036529584083018,1.78517216097658e-05,0
2020,2,15,0.000805068441582603,0.00075857794465432,0.000265794101785886,0.000182449093208597,0,0,0.00012095064577967,4.09827446715187e-05,0.00047639995277846,0.00082188051584642,0,0.00183002361823123,0.00242292062123475,0.00418627363650338,0.00318801439150042,0.00032323590278569,0,0,0.000661120984150548,0,0,0,0.00147848090303662,0,0.00578735257635588,0.0056695984277023,0.00477832889296733,0,0.00435810248146794,0.000695282195003811,0.000274320622221638,0.00156608950102366,0.0122456133864066,0.00398140596800139,2.20321163493121e-05,0
2020,2,20,0.000862969910021633,0.00084370833191315,0.000282616850571604,0.000208637249127503,0,0,0.000127968253877981,4.39150410798689e-05,0.000503404076879279,0.000900012730658113,0,0.00198850848619698,0.00249024308262275,0.00427845621480582,0.00333088215215563,0.000334454394445677,0,0,0.000685336943581689,0,0,0,0.00157215391839056,0,0.00589546242247935,0.00591771816137466,0.00485537531293468,0,0.00471276819517924,0.000738199790899284,0.000276924886185819,0.00159381357997557,0.0127906335698265,0.00431697407469065,2.69307492879606e-05,0
2020,2,25,0.000922197429517042,0.000934600585115448,0.000299656605263289,0.000238702637466876,0,0,0.000134855087117462,4.69234739314495e-05,0.000530119067164142,0.000984945557173593,0,0.00215583457000398,0.0025592101634667,0.00437028345932112,0.00347733538391994,0.000344954049960213,0,0,0.000710013076281731,0,0,0,0.00167079845145018,0,0.00600440106630291,0.00616974782257934,0.00493069727733639,0,0.00508937255646981,0.00078329174031701,0.000279447445279997,0.00162051493714207,0.0133309666676537,0.00465874991780113,3.28127352020383e-05,0
2020,3,1,0.00098273676263972,0.00103142409643408,0.000316909134404407,0.000273342550549517,0,0,0.000141601607880369,5.00129683369273e-05,0.000556540601671841,0.0010770659586834,0,0.00233184096868168,0.0026298049602132,0.00446166247864509,0.00362718828780089,0.000354336812219949,0,0,0.000735106214533252,0,0,0,0.00177449053365436,0,0.00611415959900688,0.00642512628277516,0.00500425007020092,0,0.00548832169591136,0.000830671991252972,0.000281887147502062,0.00164613434448108,0.0138641678416243,0.00500674903521796,3.9749839849573e-05,0
2020,3,6,0.00104457243722128,0.00113425483640107,0.000334391389481987,0.000313358410068174,0,0,0.000148202456256361,5.31872190733757e-05,0.000582716621262304,0.00117699467603249,0,0.00251643443762822,0.0027020452551589,0.00455248114401819,0.00378035782266888,0.000362169412115178,0,0,0.000760622168980569,0,0,0,0.00188333914834213,0,0.00622472732137086,0.00668349807894868,0.00507596992892021,0,0.0059097258447634,0.000880494989960636,0.000284242367242166,0.00167061451755486,0.0143876257272276,0.00536195147499016,4.79486866563019e-05,0
2020,3,11,0.00110768777245159,0.00124323602435254,0.000352126373473576,0.000359673752726526,0,0,0.000154652307155958,5.6451591370973e-05,0.000608608239446153,0.00128522382094689,0,0.00270948449070918,0.00277595828709688,0.00464258326630147,0.00393671088887774,0.000368037343072331,0,0,0.000786494020161653,0,0,0,0.00199756278254742,0,0.00633609148354959,0.00694428474895263,0.00514577326267884,0,0.00635367108705017,0.000932957826320437,0.000286510805007583,0.00169390028442556,0.0148987152735182,0.0057255934823044,5.77962196953198e-05,0
2020,3,16,0.00117206490729837,0.0013584547084791,0.000370140824387657,0.000413291229266751,0,0,0.000160960869550315,5.98125371951273e-05,0.000634257122207549,0.00140220210106652,0,0.0029107284533542,0.00285157971316881,0.00473200471900675,0.00409610051587246,0.000371624934958121,0,0,0.000812796354135902,0,0,0,0.00211715551073146,0,0.00644823701624229,0.00720703645895737,0.00521364291780383,0,0.00681993077711279,0.000988214859495356,0.000288691143303101,0.00171593874920606,0.0153949412316146,0.00610066888988407,6.94377940923009e-05,0
2020,3,21,0.00123768483113306,0.00147996389186179,0.000388428811884996,0.000475326913834518,0,0,0.000167135092513998,6.32773929620341e-05,0.000659738710642617,0.00152855745928548,0,0.00311972880492864,0.00292888078892296,0.00482048537967483,0.00425834095031973,0.000372768015942074,0,0,0.000839499213118921,0,0,0,0.00224221416898777,0,0.00656114625453365,0.00747111975689707,0.00527944741751757,0,0.00730787495696619,0.00104645413647973,0.000290782422948623,0.00173667945015818,0.015873760334805,0.00649004736002402,8.27631759535588e-05,0
2020,3,26,0.00130452741643704,0.00160783781344557,0.000406993062692913,0.000546946084863896,0,0,0.000173187668517255,6.6853214610622e-05,0.000685154191385912,0.00166467616837733,0,0.0033361722651589,0.00300790010090937,0.00490794940422276,0.00442328442410634,0.000371458467699761,0,0,0.000866592579675235,0,0,0,0.00237288046343755,0,0.00667479865581053,0.00773595876681534,0.00534323583320851,0,0.00781678513815282,0.00110789029454351,0.000292783519472074,0.00175607451223716,0.0163328071053998,0.00689722410428507,9.83959789668559e-05,0
2020,3,31,0.00137257145345203,0.00174207573383839,0.000425864259736649,0.000629383561053307,0,0,0.000179143166847177,7.05503010053725e-05,0.000710537017836393,0.00181115379715041,0,0.00355964316753747,0.00308862323402967,0.00499422301246097,0.00459078991664127,0.000367850070481026,0,0,0.000894144606120041,0,0,0,0.00250930721754925,0,0.00678917051328129,0.00800086695430666,0.00540491724345688,0,0.00834565286812021,0.00117272919758321,0.000294693484722283,0.00177407879397713,0.0167696825977575,0.0073256637624276,0.000116500530936315,0
2020,4,5,0.00144179468662901,0.00188269526051014,0.000445069366626903,0.000723844893357082,0,0,0.000185021945027052,7.43767643088042e-05,0.00073599613575974,0.00196837295364915,0,0.00378951137723787,0.00317106146141866,0.00507913179850133,0.00476060201600598,0.000362207018753595,0,0,0.000922112026013659,0,0,0,0.0026513939626596,0,0.00690423466674383,0.00826519452770942,0.00546451279026202,0,0.00889305904456558,0.00124120601517794,0.000296511513523872,0.00179065002859515,0.0171822181759974,0.00777871699685073,0.000137447954518586,0
